	Time [s]	Minimum [Pa]	Maximum [Pa]	Average [Pa]	
1	1.	1.653e+005	2.2892e+007	1.3245e+007	
2	2.	1.4713e+005	2.0376e+007	1.179e+007	
3	3.	1.2897e+005	1.786e+007	1.0334e+007	
4	4.	1.108e+005	1.5345e+007	8.8787e+006	
5	5.	92640	1.2829e+007	7.4231e+006	
6	6.	74475	1.0314e+007	5.9676e+006	
7	7.	56310	7.7982e+006	4.5121e+006	
8	8.	38146	5.2827e+006	3.0566e+006	
9	9.	19981	2.7671e+006	1.6011e+006	
10	10.	1816.5	2.5156e+005	1.4555e+005	
11	11.	-64595	2.11e+006	1.1963e+006	
12	12.	-1.3637e+005	4.4545e+006	2.5254e+006	
13	13.	-2.0814e+005	6.799e+006	3.8546e+006	
14	14.	-2.7991e+005	9.1435e+006	5.1838e+006	
15	15.	-3.5168e+005	1.1488e+007	6.5129e+006	
16	16.	-4.2346e+005	1.3832e+007	7.8421e+006	
17	17.	-4.9523e+005	1.6177e+007	9.1713e+006	
18	18.	-5.67e+005	1.8521e+007	1.05e+007	
19	19.	-6.3877e+005	2.0866e+007	1.183e+007	
20	20.	-7.1055e+005	2.321e+007	1.3159e+007	
21	21.	-7.8232e+005	2.5555e+007	1.4488e+007	
