	Time [s]	Minimum [m]	Maximum [m]	Average [m]	
1	1.	0.1367	0.14357	0.14175	
2	2.	0.12168	0.12779	0.12617	
3	3.	0.10666	0.11201	0.11059	
4	4.	9.1634e-002	9.6237e-002	9.5016e-002	
5	5.	7.6612e-002	8.0461e-002	7.944e-002	
6	6.	6.159e-002	6.4684e-002	6.3863e-002	
7	7.	4.6568e-002	4.8907e-002	4.8287e-002	
8	8.	3.1546e-002	3.3131e-002	3.2711e-002	
9	9.	1.6524e-002	1.7354e-002	1.7134e-002	
10	10.	1.5022e-003	1.5777e-003	1.5576e-003	
11	11.	1.352e-002	1.4199e-002	1.4019e-002	
12	12.	2.8542e-002	2.9976e-002	2.9595e-002	
13	13.	4.3564e-002	4.5752e-002	4.5172e-002	
14	14.	5.8586e-002	6.1529e-002	6.0748e-002	
15	15.	7.3608e-002	7.7305e-002	7.6325e-002	
16	16.	8.863e-002	9.3082e-002	9.1901e-002	
17	17.	0.10365	0.10886	0.10748	
18	18.	0.11867	0.12463	0.12305	
19	19.	0.1337	0.14041	0.13863	
20	20.	0.14872	0.15619	0.15421	
21	21.	0.16374	0.17196	0.16978	
